Question,Option A,Option B,Option C,Option D,Correct Answer
What is the core vision of Solarvest?,Becoming the largest solar installer,Energising a regenerative world,Maximising profit,Becoming a government agency,B
Which value is NOT part of Solarvest core values?,Passion,Accountability,Collaboration,Competition,D
How long is the probation period?,1 month,2 months,3 months,6 months,C
What are the normal working hours?,9:00 am to 6pm,8:00 am to 5:00 pm,08:45 am to 6:00 pm,08:30 am to 5:00 pm,C
When must annual leave be applied?,Same day,3 days before,5 days before,End of year,C
What is the maximum medical leave (>5 years service)?,14 days,18 days,22 days,30 days,C
How many days of maternity leave are given?,60 days,90 days,98 days,120 days,C
How many days of paternity leave are provided?,3 days,5 days,7 days,10 days,C
Who approves overtime?,HR,Finance,Immediate Superior,CEO,C
What is the OT eligibility salary cap?,3000,4000,2500,7000,B
What happens if OT is submitted late?,Paid next cycle,Rejected,Partially paid,Reviewed,A
Who is eligible for outpatient benefits?,All contract and permanent employees,Executives only,Confirmed employees,Interns,A
What document is required to be submitted upon applying for Medical Leave?,Receipt,Prescription,Medical certificate,HR approval,C
What is the mileage rate for first 500km?,0.3,0.5,0.6,0.8,C
Which is NOT covered under outpatient?,Dental,Optical,Mental health,Minor surgery,C
Maximum compassionate leave per demise?,1 day,2 days,3 days,5 days,B
When must sick leave be reported?,Same day,Before 10am,End of day,Next day,B
What is the main purpose of the handbook?,Marketing,Guidelines,Recruitment,Training,B
How many days of hospitalization leave are allowed?,30 days,45 days,60 days,90 days,C
Where to locate the guide & template for signature?,BrioHR,SolarvestLink,Workable,Outlook,B
Who is incharge for Payroll?,Sarah Deanna,Isyirah Ishak,Sarah Arisya,Anis Sofea,C
What date will the salary be paid for MY?,27th,30st/31st,25th,3rd,B
What is allowed for intern to claim?,Wellness,Parking,Buddy,Phone,B
Where can they find the Employee Handbook?,Workable,BrioHR,Welcoming Email,Epicor,B
When will their ASP medical card be activated?,Upon Joining,After Confirmation,1 month After Joining,3 months After joining,C
How to do monthly claims?,Refer to Handbook,Refer to Claim Module,Refer to Workable,Refer to Orientation Slide,B
"What is the cut-off date for submitting approved expenses claims, and when will the reimbursement be processed?",7th is the last submission date for approved claims and 15th is the reimbursement date,15th is the last submission date for approved claims and 30th/31st is the reimbursement date,20th is the last submission date for approved claims and 30th/31st is the reimbursement date,3rd is the last submission date for approved claims and 15th is the reimbursement date,A
Will Annual Leave be calculated on a prorated basis from the joining date or the confirmation date?,After confirmation date,From the joining date,Upon request,After 3 months,B
"While outpatient medical benefits can be extended to family members, does the same apply to insurance coverage?",No,Yes,,,A
"In the event of a last-minute task requiring air travel that exceeds the flight claim capping limit, will the excess amount still be reimbursable?",Need to be justified by the HR,Need to be justified by the Management,Need to be justified by the Buddy,Need to be justified by the Superior,D
"Where can we access all HR forms, such as the immediate family outpatient medical benefits form and the overtime claim form?",Workable Feed,BrioHR Feed,Epicor,ASP,B
Am I eligible to claim the Wellness Allowance while still under probation?,No,Yes,,,B
What is Solarvest Finder for?,To find employees information,To indicate employee whereabouts,To find office location,For customer service related inquiries,B
"If you are a local employee, which option should you select for the question ""Are you a tax resident?"" in BrioHR?",Yes,No,,,A
